Month,Ethiopia,Nigeria,Cameroon,Kenya,Uganda,South Africa,Tanzania
2009-05,58,37,70,25,29,34,41
2009-06,75,50,80,34,35,42,42
2009-07,83,49,83,29,40,39,64
2009-08,74,47,84,33,34,42,62
2009-09,66,40,71,29,24,37,58
2009-10,69,37,84,28,27,39,60
2009-11,61,40,71,26,30,40,58
2009-12,79,40,78,38,37,43,64
2010-01,100,40,75,36,38,45,61
2010-02,84,40,64,29,29,38,59
2010-03,84,38,49,36,42,44,75
2010-04,83,43,70,34,35,52,70
2010-05,69,47,99,35,38,63,75
2010-06,91,46,96,51,50,100,100
2010-07,66,70,60,37,46,60,69
2010-08,60,70,62,33,38,46,75
2010-09,57,55,56,29,41,39,71
2010-10,52,51,50,28,36,39,56
2010-11,60,51,42,33,42,37,64
2010-12,58,49,51,29,44,37,60
2011-01,60,50,48,35,36,36,61
2011-02,59,50,61,36,40,35,59
2011-03,57,45,48,29,29,29,57
2011-04,57,45,51,32,34,31,67
2011-05,41,49,52,33,31,34,56
2011-06,48,58,65,40,37,36,74
2011-07,58,61,61,44,46,34,85
2011-08,58,64,70,48,53,41,82
2011-09,44,55,60,39,36,33,63
2011-10,34,45,49,34,39,29,59
2011-11,39,46,53,32,35,28,47
2011-12,36,53,53,40,43,34,61
2012-01,46,55,50,39,47,34,63
2012-02,42,47,57,35,39,32,52
2012-03,42,50,59,36,49,33,53
2012-04,43,61,57,41,57,36,57
2012-05,39,66,50,40,52,39,55
2012-06,51,64,60,44,52,46,62
2012-07,36,70,68,37,52,36,56
2012-08,38,78,66,46,61,43,78
2012-09,37,58,61,38,56,38,62
2012-10,41,58,68,38,60,35,52
2012-11,35,59,53,38,58,37,53
2012-12,39,60,56,42,67,39,60
2013-01,69,64,55,44,64,39,68
2013-02,44,55,53,33,63,33,41
2013-03,37,55,63,28,60,31,47
2013-04,33,57,62,30,62,33,47
2013-05,34,61,65,34,64,37,46
2013-06,49,74,70,37,66,38,55
2013-07,45,72,71,39,66,38,58
2013-08,38,74,75,43,77,45,60
2013-09,52,67,61,36,75,40,54
2013-10,48,58,53,34,71,34,47
2013-11,38,60,63,36,72,36,44
2013-12,35,49,65,36,81,42,46
2014-01,42,57,71,39,91,53,63
2014-02,34,48,73,37,83,42,49
2014-03,34,47,69,38,84,43,49
2014-04,37,52,78,43,95,46,53
2014-05,32,55,80,43,81,44,46
2014-06,40,66,83,51,79,64,59
2014-07,38,68,77,48,73,60,62
2014-08,38,62,78,53,86,53,66
2014-09,34,57,68,47,74,43,50
2014-10,35,59,67,42,70,39,47
2014-11,31,57,63,42,69,39,43
2014-12,32,57,73,48,81,42,51
2015-01,39,61,76,52,88,42,53
2015-02,36,55,73,43,82,36,50
2015-03,34,49,83,44,89,37,51
2015-04,29,54,85,48,93,38,49
2015-05,29,62,83,49,83,37,48
2015-06,30,63,78,47,65,39,53
2015-07,29,70,67,43,68,42,50
2015-08,36,75,75,49,84,45,56
2015-09,30,69,73,45,74,39,45
2015-10,29,64,71,49,80,40,45
2015-11,31,65,76,54,84,39,44
2015-12,31,68,77,68,81,41,51
2016-01,32,76,75,95,83,46,55
2016-02,29,71,82,96,76,42,55
2016-03,30,67,89,96,69,43,60
2016-04,30,70,90,97,78,45,60
2016-05,27,69,84,100,76,46,57
2016-06,31,73,83,98,69,50,64
2016-07,29,77,80,91,70,50,56
2016-08,26,100,92,92,83,51,65
2016-09,24,77,92,92,84,44,62
2016-10,26,70,89,92,82,41,57
2016-11,29,68,90,86,81,41,55
2016-12,35,73,87,95,93,46,63
2017-01,38,68,86,95,92,46,56
2017-02,33,62,84,90,89,41,56
2017-03,30,65,79,88,94,40,58
2017-04,37,74,88,91,100,44,66
2017-05,31,73,86,85,85,41,60
2017-06,29,83,89,84,79,46,59
2017-07,33,89,81,78,85,47,62
2017-08,30,98,90,83,98,51,71
2017-09,25,80,97,87,97,45,63
2017-10,26,70,85,81,90,42,56
2017-11,25,71,80,76,83,39,59
2017-12,29,72,91,85,89,42,68
2018-01,42,86,91,89,92,49,81
2018-02,31,71,86,73,80,40,63
2018-03,27,68,95,77,78,42,65
2018-04,30,67,94,76,81,43,65
2018-05,27,66,88,73,72,41,61
2018-06,42,81,100,80,74,66,75
2018-07,32,78,87,76,71,57,70
2018-08,22,73,89,75,77,44,73
2018-09,20,64,84,73,73,41,67
2018-10,22,60,83,72,76,39,68
2018-11,20,58,93,68,76,39,65
2018-12,26,64,88,74,83,45,68
2019-01,27,65,82,78,75,43,72
2019-02,28,51,81,72,72,40,70
2019-03,28,53,87,69,70,43,71
2019-04,34,58,81,68,71,40,72
2019-05,29,62,71,71,62,42,73
