Month,Tanzania,Uganda,Kenya,Cameroon,Ethiopia,Nigeria,South Africa
2009-05,56,61,83,22,98,100,68
2009-06,24,80,100,32,100,76,48
2009-07,100,67,90,32,77,66,51
2009-08,89,61,52,54,80,70,68
2009-09,65,64,36,28,51,74,34
2009-10,87,65,83,48,52,81,52
2009-11,66,49,93,74,72,79,57
2009-12,48,78,55,63,85,67,45
2010-01,81,88,57,100,71,75,58
2010-02,78,55,73,62,48,90,66
2010-03,81,69,65,62,89,77,72
2010-04,94,100,93,92,61,90,70
2010-05,79,82,77,72,73,87,70
2010-06,52,69,80,56,43,97,34
2010-07,55,68,77,32,64,69,51
2010-08,87,62,50,28,37,69,54
2010-09,51,76,65,28,46,68,41
2010-10,65,56,72,37,56,61,52
2010-11,99,58,45,56,34,65,57
2010-12,27,50,58,25,45,53,65
2011-01,74,46,47,37,51,65,69
2011-02,33,62,60,49,30,58,54
2011-03,51,74,65,38,50,66,61
2011-04,54,67,60,57,37,70,56
2011-05,58,77,55,34,45,82,69
2011-06,64,59,56,23,47,57,43
2011-07,59,45,51,18,41,79,36
2011-08,48,47,54,30,42,65,52
2011-09,49,80,57,35,39,53,40
2011-10,56,54,51,24,54,66,52
2011-11,54,70,54,36,62,51,50
2011-12,48,55,48,35,46,54,45
2012-01,45,52,59,69,53,46,46
2012-02,44,62,57,39,49,58,59
2012-03,66,62,58,41,31,64,63
2012-04,47,50,45,47,50,68,56
2012-05,41,46,58,20,47,63,100
2012-06,32,49,50,39,45,66,41
2012-07,44,48,51,36,38,64,47
2012-08,34,35,45,31,32,65,58
2012-09,46,56,43,23,23,60,43
2012-10,47,40,50,23,36,63,47
2012-11,54,43,50,38,34,62,41
2012-12,33,34,41,29,42,49,45
2013-01,39,45,37,42,38,46,57
2013-02,34,34,43,48,44,53,50
2013-03,32,36,40,26,51,57,45
2013-04,40,47,46,52,47,64,47
2013-05,36,39,46,49,37,55,42
2013-06,36,54,54,42,35,69,33
2013-07,36,38,43,39,31,63,38
2013-08,31,39,39,36,28,55,39
2013-09,30,35,32,27,25,50,34
2013-10,31,52,38,34,31,54,56
2013-11,31,36,44,36,40,53,37
2013-12,29,30,32,35,33,35,33
2014-01,26,26,36,40,29,43,52
2014-02,26,30,39,37,32,45,48
2014-03,28,29,43,45,40,45,43
2014-04,27,34,41,46,29,44,48
2014-05,33,33,43,36,25,55,38
2014-06,34,36,42,50,35,52,47
2014-07,25,32,43,32,17,55,37
2014-08,22,25,34,22,32,57,37
2014-09,20,32,38,31,28,47,38
2014-10,25,34,43,30,23,55,44
2014-11,24,33,35,40,33,52,34
2014-12,20,26,33,36,33,43,30
2015-01,25,19,35,36,27,43,46
2015-02,25,28,40,27,23,50,46
2015-03,25,27,37,38,27,46,40
2015-04,25,29,41,34,22,47,40
2015-05,26,29,37,34,24,55,30
2015-06,31,33,41,36,30,57,27
2015-07,26,37,33,31,25,58,33
2015-08,25,30,26,28,21,55,31
2015-09,22,29,23,31,19,55,28
2015-10,17,31,24,32,23,58,38
2015-11,27,31,26,33,26,59,34
2015-12,30,23,25,29,21,45,35
2016-01,30,30,30,28,28,49,29
2016-02,31,25,26,38,21,49,40
2016-03,25,33,31,38,21,49,37
2016-04,26,39,25,51,27,57,33
2016-05,34,32,28,46,26,55,30
2016-06,31,33,31,37,25,60,27
2016-07,24,31,33,31,17,54,23
2016-08,32,25,25,31,23,53,27
2016-09,25,57,25,30,17,52,28
2016-10,22,32,27,29,24,54,35
2016-11,31,38,25,39,36,51,31
2016-12,25,25,20,28,26,41,29
2017-01,29,24,26,24,23,42,36
2017-02,33,28,25,33,20,49,33
2017-03,30,33,29,28,27,46,72
2017-04,28,29,28,33,25,49,34
2017-05,33,36,29,31,26,50,53
2017-06,34,35,30,34,24,56,30
2017-07,26,33,27,31,20,55,30
2017-08,29,27,17,29,22,53,30
2017-09,25,28,21,25,17,50,32
2017-10,26,28,26,25,27,52,49
2017-11,36,28,28,34,35,51,39
2017-12,32,18,21,33,37,43,41
2018-01,37,21,26,40,19,41,47
2018-02,35,27,28,47,25,50,36
2018-03,30,27,23,50,29,49,31
2018-04,28,50,24,57,26,52,38
2018-05,37,36,29,34,24,59,29
2018-06,36,39,27,38,23,57,26
2018-07,45,36,30,26,22,54,24
2018-08,34,26,23,38,24,49,31
2018-09,28,31,24,30,15,54,29
2018-10,24,27,26,33,23,60,35
2018-11,31,27,24,41,33,52,34
2018-12,31,18,21,31,26,39,31
2019-01,35,24,23,41,24,39,33
2019-02,33,28,23,47,23,43,35
2019-03,30,23,23,45,28,51,30
2019-04,28,25,20,54,21,59,29
2019-05,26,24,25,45,26,61,22
